Timestamp,Language,P1Q1,P1Q2,P1Q3,P2Q1,P2Q2,P2Q3,P3Q1,P3Q2,P3Q3,P4Q1,P4Q2,P4Q3,Overall,Comment,,,,,,,,,,,,,,
3/23/2020 17:57:29,English,3,3,5,3,3,4,5,2,5,5,1,5,8,,,,,,,,,,,,,,,
3/27/2020 9:52:05,Thai,3,2,4,3,5,2,4,3,3,4,5,2,6,ควรมีระบบเลือกวิชาได้แบบเป็น tab แทนที่ต้องกลับไปหน้าเลือกวิชาตลอดเวลา,,,,,,,,,,,,,,
3/27/2020 10:38:26,English,4,1,4,3,3,3,4,2,3,4,3,3,8,,,,,,,,,,,,,,,
3/27/2020 10:42:39,Thai,2,4,3,4,3,3,4,2,3,3,3,3,6,,,,,,,,,,,,,,,
3/27/2020 10:45:40,Thai,3,2,5,5,2,3,5,2,3,5,4,4,7,ตรงหน้าแรกสุดที่จะมีหน้าต่างฟ้าๆเตือนว่ามีงานอะไรต้องส่งในอีก7วัน ถ้างานไหนส่งแล้วอยากให้หยุดเตือนก็จะดีเพราะถึงจะส่งหมดแล้วทุกครั้งที่เข้าmycoursevilleก็จะระแวงแล้วต้องไล่ดูว่ามีอะไรต้องส่งเพิ่มไหมทุกครั้ง,,,,,,,,,,,,,,
3/27/2020 10:46:20,Thai,3,3,4,5,2,5,5,2,5,5,4,4,8,,,,,,,,,,,,,,,
3/27/2020 10:46:46,Thai,4,1,2,5,1,2,5,1,1,5,1,1,10,,,,,,,,,,,,,,,
3/27/2020 11:00:15,Thai,4,1,5,3,4,4,5,1,4,4,2,4,7,,,,,,,,,,,,,,,
3/27/2020 11:00:28,English,2,4,4,2,3,2,3,3,2,3,4,4,5,,,,,,,,,,,,,,,
3/27/2020 11:02:13,English,3,3,4,4,2,4,5,3,4,4,2,3,8,,,,,,,,,,,,,,,
3/27/2020 11:03:06,Thai,4,1,5,5,1,5,5,1,5,5,1,5,10,,,,,,,,,,,,,,,
