Timestamp,Language,P1Q1,P1Q2,P1Q3,P1 Overall,P2Q1,P2Q2,P2Q3,P2 Overall,P3Q1,P3Q2,P3Q3,P3 Overall,P4Q1,P4Q2,P4Q3,P4 Overall,Overall,Comment
2020-03-23 17:57:29,English,2.5,2.5,5.0,3.3333333333333335,2.5,2.5,3.75,2.9166666666666665,5.0,3.75,5.0,4.583333333333333,5.0,5.0,5.0,5.0,8,
2020-03-27 09:52:05,Thai,2.5,3.75,3.75,3.3333333333333335,2.5,0.0,1.25,1.25,3.75,2.5,2.5,2.9166666666666665,3.75,0.0,1.25,1.6666666666666667,6,ควรมีระบบเลือกวิชาได้แบบเป็น tab แทนที่ต้องกลับไปหน้าเลือกวิชาตลอดเวลา
2020-03-27 10:38:26,English,3.75,5.0,3.75,4.166666666666667,2.5,2.5,2.5,2.5,3.75,3.75,2.5,3.3333333333333335,3.75,2.5,2.5,2.9166666666666665,8,
2020-03-27 10:42:39,Thai,1.25,1.25,2.5,1.6666666666666667,3.75,2.5,2.5,2.9166666666666665,3.75,3.75,2.5,3.3333333333333335,2.5,2.5,2.5,2.5,6,
2020-03-27 10:45:40,Thai,2.5,3.75,5.0,3.75,5.0,3.75,2.5,3.75,5.0,3.75,2.5,3.75,5.0,1.25,3.75,3.3333333333333335,7,ตรงหน้าแรกสุดที่จะมีหน้าต่างฟ้าๆเตือนว่ามีงานอะไรต้องส่งในอีก7วัน ถ้างานไหนส่งแล้วอยากให้หยุดเตือนก็จะดีเพราะถึงจะส่งหมดแล้วทุกครั้งที่เข้าmycoursevilleก็จะระแวงแล้วต้องไล่ดูว่ามีอะไรต้องส่งเพิ่มไหมทุกครั้ง
2020-03-27 10:46:20,Thai,2.5,2.5,3.75,2.9166666666666665,5.0,3.75,5.0,4.583333333333333,5.0,3.75,5.0,4.583333333333333,5.0,1.25,3.75,3.3333333333333335,8,
2020-03-27 10:46:46,Thai,3.75,5.0,1.25,3.3333333333333335,5.0,5.0,1.25,3.75,5.0,5.0,0.0,3.3333333333333335,5.0,5.0,0.0,3.3333333333333335,10,
2020-03-27 11:00:15,Thai,3.75,5.0,5.0,4.583333333333333,2.5,1.25,3.75,2.5,5.0,5.0,3.75,4.583333333333333,3.75,3.75,3.75,3.75,7,
2020-03-27 11:00:28,English,1.25,1.25,3.75,2.0833333333333335,1.25,2.5,1.25,1.6666666666666667,2.5,2.5,1.25,2.0833333333333335,2.5,1.25,3.75,2.5,5,
2020-03-27 11:02:13,English,2.5,2.5,3.75,2.9166666666666665,3.75,3.75,3.75,3.75,5.0,2.5,3.75,3.75,3.75,3.75,2.5,3.3333333333333335,8,
2020-03-27 11:03:06,Thai,3.75,5.0,5.0,4.583333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10,
2020-03-27 11:07:26,Thai,2.5,2.5,3.75,2.9166666666666665,3.75,2.5,2.5,2.9166666666666665,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,7,"1) อยากให้มีการจัดการแสดงหน้า assignment ได้ด้วยตัวเองหน่อย เช่น การสลับลำดับงานบน-ล่าง , มีแสดงความแตกต่างระหว่างงานที่ส่งแล้วแต่ยังไม่หมดเวลากับงานทียังไม่ได้ส่ง. 2) อยากให้ระบบในการทำ discussion หรือพวกกระทู้คำถามในแต่ละวิชาที่ทำได้สะดวกเพื่อจะได้ตั้งคำถามหาและหาคำตอบได้เป็นวงกว้าง หรือบางทีอาจจะไม่ใช่สำหรับแต่ละวิชาก็ได้ ทำให้เหมือน Pantip ก็อาจจะดีมากมาย. 3) หากมีการ Update แล้วมี Notification แจ้งมาด้วยจะมีมาก ๆ จะได้ไม่ตกข่าว. 4) ถ้า myCouseville มาเป็นแอพก็อาจจะดีกว่าก็ได้"
2020-03-27 11:07:45,English,3.75,2.5,3.75,3.3333333333333335,3.75,2.5,2.5,2.9166666666666665,5.0,3.75,5.0,4.583333333333333,5.0,3.75,5.0,4.583333333333333,8,
2020-03-27 11:08:50,Thai,2.5,2.5,3.75,2.9166666666666665,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,8,
2020-03-27 11:09:35,Thai,3.75,5.0,5.0,4.583333333333333,2.5,0.0,5.0,2.5,0.0,0.0,0.0,0.0,5.0,5.0,2.5,4.166666666666667,8,ไม่ชอบที่ กดออก 1Step ไม่ได้ เช่น เข้าไปโหลดไฟล์ แล้วออกมาใหม่ (กดโฟลเดอร์ใหม่ด้วย)
2020-03-27 11:10:36,Thai,2.5,3.75,2.5,2.9166666666666665,3.75,3.75,2.5,3.3333333333333335,3.75,3.75,2.5,3.3333333333333335,3.75,2.5,2.5,2.9166666666666665,8,อยากให้มีแอพ และมีการแจ้งเตือน
2020-03-27 11:12:09,English,2.5,3.75,3.75,3.3333333333333335,2.5,2.5,1.25,2.0833333333333335,1.25,2.5,3.75,2.5,1.25,3.75,1.25,2.0833333333333335,7,
2020-03-27 11:15:40,Thai,3.75,5.0,3.75,4.166666666666667,5.0,3.75,5.0,4.583333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10,
2020-03-27 11:16:24,Thai,2.5,5.0,5.0,4.166666666666667,3.75,3.75,5.0,4.166666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9,-
